id,text,label,language,has_slang,has_abbrev,source
28,"orang miskin yg mentalnya gak maju tuh drag everyone down, gak mau usaha sendiri",1,mixed,0,0,generated
29,"gue udah apply 20 lowongan dan semuanya ghosting, honestly i don't know how much longer i can do this",0,mixed,0,0,generated
30,"etnis itu fr gak bisa dipercaya sm apapun, no cap it is what it is smh parah",1,mixed,0,0,generated
31,"dia tiba-tiba cold tanpa penjelasan, like what did i even do wrong sih",0,mixed,0,0,generated
32,"mereka tuh selalu minta hak yg sama, tapi kontribusi ke masyarakat gak pernah ada",1,mixed,0,0,generated
33,"deadass gue lagi di fase burnout bgt skrg, gabisa explained ke siapapun knp gue cape smh",0,mixed,0,0,generated
34,"kafir tuh emang selalu cari cara melemahkan agama kita, no wonder susah dipercaya",1,mixed,0,0,generated
35,"gue ngirim pesan salah ke grup kerja, i froze for a solid five minutes after that",0,mixed,0,0,generated
36,"org2 kampung emang fr gak tau adab, no class whatsoever smh ngeselin parah bgt",1,mixed,0,0,generated
37,"kerjaan numpuk hari ini dan yang lain santai-santai aja, this is so unfair honestly",0,mixed,0,0,generated
38,"cewek zaman sekarang emang toxic bgt, they play victim every single time no cap",1,mixed,0,0,generated
39,"ngl gue fr mager bgt hari ini, zero motivation dan deadline literally besok help",0,mixed,0,0,generated
40,"ateis itu gak punya moral grounding sama sekali, they just make up rules as they go",1,mixed,0,0,generated
41,"gue udah coba jelaskan baik-baik, but he keeps twisting everything i say",0,mixed,0,0,generated
42,"b0d0h emang mereka tuh, fr gak ada gunanya no cap smh bikin cape aja",1,mixed,0,0,generated
43,"ojol gue cancel tiga kali berturut-turut, literally almost cried at the roadside",0,mixed,0,0,generated
44,"golongan itu dari dulu emang gitu, they never contribute anything meaningful to society",1,mixed,0,0,generated
45,"omg skripsi gue ditolak lagi, literally gue udh nangis di kamar mandi tadi fr fr",0,mixed,0,0,generated
46,"perempuan itu memang tidak cocok memimpin, always too emotional for real decisions",1,mixed,0,0,generated
47,"gue nonton pertandingan sampe jam 3 pagi, and my team still managed to draw somehow",0,mixed,0,0,generated
48,"pendatang tuh fr gak tau batas, smh they act like they own this place no cap bgt",1,mixed,0,0,generated
49,"playlist gue shuffle dan dapet lagu lama, hits different when you're going through something",0,mixed,0,0,generated
50,"arab itu emang ngerasa paling superior, they look down on everyone who isn't like them",1,mixed,0,0,generated
51,"lol gue literally ketinggalan kereta pagi ini, now gue lmao telat lagi smh parah bgt",0,mixed,0,0,generated
52,"mereka itu parasit sejati, always feeding off others without giving anything back",1,mixed,0,0,generated
53,"gue diet ketat 2 minggu tapi hasilnya gak keliatan, i'm seriously questioning everything right now",0,mixed,0,0,generated
54,"org miskin yg males kerja tuh fr ngeselin bgt, they want everything handed smh no cap",1,mixed,0,0,generated
55,"teman kelompok gue ghosting dan gue ngerjain semuanya sendiri, so done with this",0,mixed,0,0,generated
56,"from the start gue gak suka golongan itu, turns out my instincts were right all along",1,mixed,0,0,generated
57,"ngl gue fr lowkey galau tp gatau knp, this vague sadness is exhausting bgt idk",0,mixed,0,0,generated
58,"cina itu gak pernah bisa jadi warga negara sejati, they always put their own group first",1,mixed,0,0,generated
59,"makanan di sini harganya mahal bgt, and the portion is embarrassingly small tbh",0,mixed,0,0,generated
60,"pria feminim tuh fr bikin malu, so cringe no cap smh gak normal bgt",1,mixed,0,0,generated
61,"gue salah jurusan kayaknya, honestly i don't see myself doing this for the rest of my life",0,mixed,0,0,generated
62,"they keep getting special treatment, padahal mereka yg paling sering bikin masalah",1,mixed,0,0,generated
63,"omg gue baru tau doi udah punya gebetan baru, found out through instagram lmao sakit bgt fr",0,mixed,0,0,generated
64,"bule yg dateng ke sini dan menghina budaya lokal itu, they're the worst kind of guest",1,mixed,0,0,generated
65,"konser ditunda sehari sebelum hari H, i had already bought the outfit and everything",0,mixed,0,0,generated
66,"LGBT tuh fr gak pantes dapet hak yg sama, literally makes no sense smh no cap bgt",1,mixed,0,0,generated
67,"gue lupa save dokumen dan laptop hang, literally almost had a breakdown right there",0,mixed,0,0,generated
68,"golongan kafir itu emang gak akan pernah ngerti, they deliberately misrepresent everything",1,mixed,0,0,generated
69,"fr gue deadass gabisa cope sm situasi kantor skrg, ngl lowkey contemplating resign bgt smh",0,mixed,0,0,generated
70,"semua laki-laki itu sama saja, they're all toxic and selfish in the end",1,mixed,0,0,generated
71,"gue rebahan seharian dan accomplished literally nothing, and i somehow feel zero guilt about it",0,mixed,0,0,generated
72,"etnis pendatang tuh fr gak tau diri, smh they come here and act all superior no cap",1,mixed,0,0,generated
73,"cancel culture udah terlalu jauh sekarang, people deserve a chance to grow and change",0,mixed,0,0,generated
74,"mereka tuh emang gak bisa hidup rukun, they create conflict wherever they go fr",1,mixed,0,0,generated
75,"ngl gue fr so tired sm drama fandom ini, both sides are being so extra bgt smh wkwk",0,mixed,0,0,generated
76,"orang dari suku itu emang suka exclusive, they only stick to their own group",1,mixed,0,0,generated
77,"gue dapet feedback jelek dari klien, i have to accept this with grace somehow",0,mixed,0,0,generated
78,"smh knp mereka dikasih hak yg sama, literally makes no sense fr no cap gak adil bgt",1,mixed,0,0,generated
79,"dosen gue ngasih deadline mendadak, honestly i don't know what to do anymore sih",0,mixed,0,0,generated
80,"cewek tuh emang gak bisa dipercaya sama uang, they always overspend then blame others",1,mixed,0,0,generated
81,"omg gue ketinggalan trending sm fandom, lowkey fomo bgt tp fr gabisa update terus smh",0,mixed,0,0,generated
82,"pendatang itu bikin harga sewa naik, locals can barely afford to live here anymore",1,mixed,0,0,generated
83,"gue mesen online tapi datengnya rusak, the seller just ghosted me after i complained",0,mixed,0,0,generated
84,"g0bl0k emang org2 dr golongan itu, fr no class smh they never gonna change no cap",1,mixed,0,0,generated
85,"burnout gue udah level parah, literally gabisa function normally anymore",0,mixed,0,0,generated
86,"Arab itu susah banget diajak toleransi, they act like their way is the only right way",1,mixed,0,0,generated
87,"ngl gue lowkey baper liat foto lama, hits different when you're healing smh fr fr",0,mixed,0,0,generated
88,"orang miskin yg iri sama orang kaya itu, they drag everyone around them down",1,mixed,0,0,generated
89,"gue udah revisi proposal 7 kali, and he's asking me to restructure the whole thing again",0,mixed,0,0,generated
90,"perempuan mah fr gak usah terlalu bebas, they abuse it every time no cap smh emang gitu",1,mixed,0,0,generated
91,"gue bikin konten bagus tapi views-nya sedikit, honestly the algorithm is so unfair",0,mixed,0,0,generated
92,"golongan ini emang dari dulu bikin onar, they've never contributed anything positive fr",1,mixed,0,0,generated
93,"deadass gue udh overthinking soal itu berjam2, idk knp gabisa just let it go smh fr",0,mixed,0,0,generated
94,"ateis itu gak punya batasan moral sama sekali, they justify anything they want to do",1,mixed,0,0,generated
95,"gue bilang sesuatu yg salah di grup dan sekarang awkward bgt, i can't take it back",0,mixed,0,0,generated
96,"cina tuh fr gak bisa nationalis sejati, divided loyalties smh no cap it is what it is",1,mixed,0,0,generated
97,"aplikasi e-wallet gue error pas mau bayar di antrian, literally wanted the floor to swallow me",0,mixed,0,0,generated
98,"perempuan yg terlalu vokal itu annoying, they just want attention and clout fr",1,mixed,0,0,generated
99,"lmao gue literally cried di toilet kantor tadi, ngl fr gue gak kuat sm situasi ini smh",0,mixed,0,0,generated
100,"bule itu ngerasa budaya mereka superior, they look down on non-western ways of life",1,mixed,0,0,generated
101,"gue mau resign tapi takut gak dapet kerja lain, i feel completely trapped right now",0,mixed,0,0,generated
102,"org2 dr etnis itu tuh fr always bikin masalah, smh no wonder nobody trust them no cap",1,mixed,0,0,generated
103,"teman gue dapet job bagus dan gue genuinely ikutan seneng, proud of him fr",0,mixed,0,0,generated
104,"LGBT itu merusak tatanan keluarga, they should not be normalized in this country fr",1,mixed,0,0,generated
105,"ngl gue fr so done sm tugas kelompok ini, literally gue yg ngerjain semua smh deadass",0,mixed,0,0,generated
106,"golongan itu emang mentalnya freeloaders, they always expect others to do the work",1,mixed,0,0,generated
107,"gue ketemu gebetan di jalan dan gue panik langsung jalan arah lain, i embarrass myself constantly",0,mixed,0,0,generated
108,"pendatang tuh fr gak usah complain soal budaya sini, smh they should just leave no cap bgt",1,mixed,0,0,generated
109,"gue dapet nilai A pertama kali dan langsung telpon orang tua, they were so happy honestly",0,mixed,0,0,generated
110,"mereka itu gak pernah mau berubah, no matter how many chances you give them fr",1,mixed,0,0,generated
111,"omg gue literally hampir nangis pas dosen bilang revisi total, fr deadass so defeated bgt",0,mixed,0,0,generated
112,"perempuan itu gak cocok di bidang teknik, they lack the analytical thinking required",1,mixed,0,0,generated
113,"gue main game sampe pagi dan sekarang zombie di kelas, worth it tho i think maybe",0,mixed,0,0,generated
114,"smh etnis ini tuh fr gak punya rasa malu, no cap they do what they want smh selfish bgt",1,mixed,0,0,generated
115,gue stuck di lift 10 menit dan somehow gue spent it questioning my entire life,0,mixed,0,0,generated
116,"cewek zaman sekarang emang materialistis, they only care about what you can give them",1,mixed,0,0,generated
117,"fr gue lowkey mager bgt hari ini, zero vibes tp deadline still ada besok lmao help",0,mixed,0,0,generated
118,"arab itu emang ngerasa agama mereka paling benar, they dismiss everyone else's beliefs",1,mixed,0,0,generated
119,"gue nonton drama korea baru dan ketagihan parah, i finished 10 episodes in one sitting",0,mixed,0,0,generated
120,"org kampung tuh fr no class whatsoever, smh emang gitu mereka no cap bikin malu",1,mixed,0,0,generated
121,"bus terlambat 40 menit dan tidak ada penjelasan, honestly this city's transport is hopeless",0,mixed,0,0,generated
122,"golongan ini emang dari sananya gitu, they're wired to be problematic fr no cap",1,mixed,0,0,generated
123,"ngl gue fr lowkey sakit hati pas dapet komentar jelek, still processing it honestly smh",0,mixed,0,0,generated
124,"LGBT itu jangan dikasih platform di media, they normalize what shouldn't be normal",1,mixed,0,0,generated
125,"gue udah diet sebulan tapi timbangan malah naik, i genuinely don't understand what's happening",0,mixed,0,0,generated
126,"cina tuh fr gak bisa dipercaya soal bisnis, smh they cheat no cap it is what it is",1,mixed,0,0,generated
127,"teman gue toxic tapi susah dilepaskan, somehow i keep coming back and i don't know why",0,mixed,0,0,generated
128,"orang miskin yg malas tuh emang gitu, they expect the government to solve all their problems",1,mixed,0,0,generated
129,"deadass gue lagi di titik terendah bgt skrg, idk mau cerita ke siapa fr gabisa cope smh",0,mixed,0,0,generated
130,"perempuan yg terlalu ambisius itu melupakan kodratnya, they forget their real responsibilities",1,mixed,0,0,generated
131,"gue berhasil masak rendang pertama kali, and it actually turned out pretty decent honestly",0,mixed,0,0,generated
132,"smh org yg keluar dr agama tuh fr gak ada iman-nya, they just follow trends no cap bgt",1,mixed,0,0,generated
133,"konser idola gue ditunda lagi, literally three times in a row now, i'm losing faith",0,mixed,0,0,generated
134,"mereka itu selalu mau menang sendiri, they never compromise on anything fr",1,mixed,0,0,generated
135,"omg gue fr gabisa tidur padahal ngantuk bgt, overthinking mode on lmao knp gini smh",0,mixed,0,0,generated
136,"pria yg terlalu nurut sama perempuan itu gak ada harga dirinya, they have no backbone",1,mixed,0,0,generated
137,"gue beli headphone baru tapi suaranya terrible, i'm returning it first thing tomorrow",0,mixed,0,0,generated
138,"pendatang tuh fr bikin kota ini susah, smh they take all the opportunities no cap gak adil",1,mixed,0,0,generated
139,"partner kerja gue gak deliver dan gue kena marah bos, so done with this situation fr",0,mixed,0,0,generated
140,"dari awal gue udah gak percaya golongan itu, and they proved me right in the end",1,mixed,0,0,generated
141,"fr gue literally shocked pas dia tiba2 dm gue setelah 1 tahun ghosting, like bro???smh wth",0,mixed,0,0,generated
142,"bule itu datang ke sini dan menghina cara hidup lokal, they have zero respect fr",1,mixed,0,0,generated
143,"gue viral di twitter tapi gue gak ngerti kenapa, i was literally just documenting my day",0,mixed,0,0,generated
144,"etnis ini tuh fr gak bisa diandalkan, smh they always let you down no cap deadass",1,mixed,0,0,generated
145,"gue overthinking soal keputusan kecil lagi, this is getting genuinely out of hand",0,mixed,0,0,generated
146,"Arab itu gak bisa integrate ke masyarakat lain, they form exclusive bubbles everywhere fr",1,mixed,0,0,generated
147,ngl gue fr makan cilok pinggir jalan dan ini literally happiest moment gue hari ini lmao,0,mixed,0,0,generated
148,"orang dari ras itu emang kayak gitu, they've always been this way no matter what",1,mixed,0,0,generated
149,"gue ketinggalan moment penting karena hp mati, i somehow always manage to miss things",0,mixed,0,0,generated
150,"perempuan emang fr gak bisa logical, smh they always let feelings take over no cap parah",1,mixed,0,0,generated
151,"gue lagi mode healing tapi budget gak support, honestly the irony is not lost on me",0,mixed,0,0,generated
152,"golongan ini emang gak pernah kontribusi, they just take everything and give nothing back fr",1,mixed,0,0,generated
153,"omg gue fr literally cried pas liat nilai ujian, deadass gue gak nyangka segini smh bgt",0,mixed,0,0,generated
154,"mereka itu selalu bikin kerusuhan, no wonder people don't want them around",1,mixed,0,0,generated
155,"gue makan spicy food sama teman dan sekarang lagi suffering, this was a terrible decision",0,mixed,0,0,generated
156,"smh ateis tuh fr gak punya moral grounding, they make their own rules up no cap bgt",1,mixed,0,0,generated
157,"gue dapet komentar body shaming dari saudara sendiri, still processing this honestly",0,mixed,0,0,generated
158,"cina tuh gak pernah bisa jadi patriot sejati, they only prioritize their own people fr",1,mixed,0,0,generated
159,"fr gue lagi gabut bgt di rumah, zero motivation tp semua org pada ghosting gue today lmao",0,mixed,0,0,generated
160,"LGBT itu jangan dikasih hak adopsi, they'll raise a confused generation no cap",1,mixed,0,0,generated
161,"gue beli tiket event tapi dibatalin, i had already taken the day off work for this",0,mixed,0,0,generated
162,"org2 dr golongan itu tuh fr gak punya adab, smh no class whatsoever no cap emang gitu",1,mixed,0,0,generated
163,"teman gue minjem uang terus ghosting, honestly i don't know how to feel about this",0,mixed,0,0,generated
164,"kafir itu memang selalu cari cara melemahkan kita, they work against our values every day fr",1,mixed,0,0,generated
165,"ngl gue fr struggling bgt sm mental health skrg, tp gabisa explained ke siapapun smh idk",0,mixed,0,0,generated
166,"etnis pendatang yg gak mau asimilasi itu, they want all benefits but none of the responsibility",1,mixed,0,0,generated
167,"gue lupa bawa charger dan baterai tinggal 5%, i still have three hours of class left",0,mixed,0,0,generated
168,"smh bule tuh fr ngerasa superior, they act like they own everything no cap deadass parah",1,mixed,0,0,generated
169,"drama di kantor lebih seru dari sinetron, ngl gue somehow menikmati ini dari jauh",0,mixed,0,0,generated
170,"perempuan itu emang gak bisa dipercaya, they always find a way to twist things around fr",1,mixed,0,0,generated
171,"omg gue fr dapat dm dari brand buat collab, deadass gue literally gak percaya ini nyata bgt",0,mixed,0,0,generated
172,"mereka itu gak akan pernah berubah, no matter how many chances you give them fr",1,mixed,0,0,generated
173,"gue udah coba approach dia baik-baik, but she just keeps shutting me out everytime",0,mixed,0,0,generated
174,"golongan ini tuh fr always minta perlindungan, smh tp gak pernah kasih balik no cap bgt",1,mixed,0,0,generated
175,"gue abis nonton film sedih dan sekarang melankolik bgt, hits different when you're alone",0,mixed,0,0,generated
176,"orang miskin yg gak mau bangkit itu nyebelin, they drag the whole community down fr",1,mixed,0,0,generated
177,"fr gue deadass stressed bgt sm skripsi, literally udh nangis 3x minggu ini smh help",0,mixed,0,0,generated
178,"golongan itu gak pernah mau introspeksi, they always blame others for their own mistakes",1,mixed,0,0,generated
179,"gue kena tilang karena masuk jalur busway, i honestly don't know what i was thinking",0,mixed,0,0,generated
180,"org yg gak beragama tuh fr gak punya pegangan moral, smh no cap gak bisa dipercaya bgt",1,mixed,0,0,generated
181,"gue telpon customer service 30 menit dan masalahnya gak solved, done with this brand",0,mixed,0,0,generated
182,"Arab itu selalu ngerasa agama mereka paling benar, they look down on everyone else fr",1,mixed,0,0,generated
183,"ngl gue fr lowkey fomo pas liat postingan temen yg jalan2, tp literally broke smh idk",0,mixed,0,0,generated
184,"perempuan itu tidak bisa memegang jabatan tinggi, they get too emotional under pressure",1,mixed,0,0,generated
185,"gue diminta lembur lagi tanpa bayaran tambahan, this company is genuinely so exploitative",0,mixed,0,0,generated
186,"cewek emang fr gak bisa simpan rahasia, smh they always spill everything no cap deadass",1,mixed,0,0,generated
187,"gue gak bisa tidur meski capek banget, overthinking soal hal yg probably won't happen",0,mixed,0,0,generated
188,"etnis ini emang susah diajak kerja sama, they always have their own separate agenda fr",1,mixed,0,0,generated
189,"omg gue fr literally froze pas dapet email rejection, deadass ngl gue gak siap smh bgt",0,mixed,0,0,generated
190,"bule itu merasa dunia ini milik mereka, they colonize mindsets even now fr",1,mixed,0,0,generated
191,"gue curhat ke teman tapi dia malah cerita ke orang lain, i trusted her with everything",0,mixed,0,0,generated
192,"smh mereka tuh fr gak bisa diterima di sini, they don't share our values no cap deadass",1,mixed,0,0,generated
193,"gue berhasil defend skripsi dengan lancar, honestly still can't believe it went that well",0,mixed,0,0,generated
194,"pendatang itu gak tau batas, they overstep every single opportunity they get fr",1,mixed,0,0,generated
195,"fr gue literally galau gak jelas skrg, nothing wrong specifically tp everything feels heavy smh",0,mixed,0,0,generated
196,"LGBT itu jangan dipromosikan di ruang publik, they make the environment uncomfortable",1,mixed,0,0,generated
197,"gue coba trend makanan baru dan kecewa bgt, the hype was way bigger than the reality",0,mixed,0,0,generated
198,"org2 dr ras itu tuh fr gak bisa dipercaya, smh no wonder orang pada ilfeel no cap bgt",1,mixed,0,0,generated
199,"gue abis workout keras tapi timbangan gak bergerak, this is genuinely demoralizing fr",0,mixed,0,0,generated
200,"golongan ini emang selalu minta lebih, they have never been satisfied with what they have fr",1,mixed,0,0,generated
201,"ngl gue fr so proud pas tim esport indo menang, deadass nangis nonton finishnya smh bgt",0,mixed,0,0,generated
202,"cina itu tidak pernah bisa benar-benar asimilasi, they always remain outsiders no cap",1,mixed,0,0,generated
203,"gue lagi stuck di fase burnout dan gatau cara keluarnya, honestly i just need everything to stop",0,mixed,0,0,generated
204,"perempuan mah fr emang gitu, smh they always play victim no cap it is what it is bgt",1,mixed,0,0,generated
205,dapet komentar positif di postingan gue dan honestly it made my whole week better,0,mixed,0,0,generated
206,"golongan itu emang gak punya harga diri, they embarrass everyone around them fr",1,mixed,0,0,generated
207,"omg gue fr gabisa explained why gue overthinking ini bgt, literally gak ada reason smh help",0,mixed,0,0,generated
208,"orang miskin yg gak mau usaha itu, they expect everything handed to them on a silver platter",1,mixed,0,0,generated
209,"gue nonton stand up comedy dan tertawa sampe nangis, that was the best therapy i've had recently",0,mixed,0,0,generated
210,"smh etnis pendatang tuh fr gak tau diri, they come here acting superior no cap deadass parah",1,mixed,0,0,generated
211,gue kirim email salah ke klien dan literally froze for five minutes after hitting send,0,mixed,0,0,generated
212,"ateis itu gak punya pegangan moral yang jelas, they justify literally anything they do fr",1,mixed,0,0,generated
213,"fr gue lowkey seneng bgt pas temen gue akhirnya move on, ngl kita semua udh doa buat dia smh",0,mixed,0,0,generated
214,"pendatang yg arogan itu meresahkan, they act like they deserve more than locals do",1,mixed,0,0,generated
215,"gue coba belajar skill baru tapi susah banget, i didn't expect the learning curve to be this steep",0,mixed,0,0,generated
216,"bule tuh fr no respect bgt soal budaya lokal, smh they expect us to adapt no cap deadass",1,mixed,0,0,generated
217,"gue ketinggalan kereta pagi dan telat meeting, worst way to start a day honestly",0,mixed,0,0,generated
218,"golongan ini emang selalu bikin kerusuhan, they've been doing it for generations fr",1,mixed,0,0,generated
219,"omg gue fr beli tiket konser mahal tp temen cancel, deadass mau nangis skrg bgt smh",0,mixed,0,0,generated
220,"LGBT itu merusak nilai-nilai keluarga tradisional, they shouldn't have any platform here",1,mixed,0,0,generated
221,"gue ngirim cv 15 tempat dan semuanya ghosting, i'm at a level of hopeless i've never experienced",0,mixed,0,0,generated
222,"smh mereka tuh fr always bikin masalah, no cap gak pernah bisa diam no matter what deadass",1,mixed,0,0,generated
223,gue rebahan sambil dengerin musik dan ini literally satu-satunya saat gue merasa ok,0,mixed,0,0,generated
224,"Arab itu susah banget hidup berdampingan, they have too much superiority complex fr",1,mixed,0,0,generated
225,"fr gue ngl literally lagi di fase paling galau skrg, idk why everything just feels heavy smh",0,mixed,0,0,generated
226,"etnis ini itu gak punya rasa tanggung jawab kolektif, they only care about themselves",1,mixed,0,0,generated
227,"gue nonton highlight bola pagi dan tim gue kalah lagi, i'm starting to question why i even support them",0,mixed,0,0,generated
228,"cina emang fr gak bisa nationalis sejati, smh divided loyalties no cap it is what it is bgt",1,mixed,0,0,generated
229,"gue sadar sendiri kalau gue udah terlalu bergantung ke orang lain, time to grow up fr",0,mixed,0,0,generated
230,"perempuan itu emang gak usah dikasih kekuasaan terlalu besar, they always abuse it fr",1,mixed,0,0,generated
231,"ngl gue fr so happy pas dapet salary naik, deadass langsung mau traktir semua orang smh wkwk",0,mixed,0,0,generated
232,"golongan kafir itu emang selalu cari celah, they never respect our beliefs or values",1,mixed,0,0,generated
233,"gue udah explain situasinya baik-baik, but he keeps making it worse every single time",0,mixed,0,0,generated
234,"pendatang tuh fr gak usah ikut2 urusan lokal, smh they have no right to comment no cap bgt",1,mixed,0,0,generated
235,"gue makan sendirian di restoran dan waiter nanya 'sendirian?' tiga kali, that was unnecessary",0,mixed,0,0,generated
236,"orang miskin yg selalu complain tapi gak mau berubah itu, they're comfortable in failure fr",1,mixed,0,0,generated
237,"omg gue fr literally shocked pas terima penghargaan tadi, deadass gue gak nyangka smh bgt",0,mixed,0,0,generated
238,"cewek yang terlalu mandiri itu bikin cowok males deketin, they make relationships impossible",1,mixed,0,0,generated
239,"gue lagi broke tapi temen ngajak makan restoran mahal, the social pressure here is genuinely terrible",0,mixed,0,0,generated
240,"smh bule tuh fr ngerasa dunia ini milik mereka, they colonize everything no cap deadass parah",1,mixed,0,0,generated
241,"gue beli shoes baru tapi salah ukuran dan tidak bisa return, biggest L of the month honestly",0,mixed,0,0,generated
242,"golongan ini emang selalu minta hak tapi gak mau kewajiban, they take and never give fr",1,mixed,0,0,generated
243,"fr gue literally nangis pas tau tiket sold out, deadass udh excited bgt dr minggu lalu smh",0,mixed,0,0,generated
244,"etnis itu emang gak bisa diterima di lingkungan profesional, they always bring unnecessary drama",1,mixed,0,0,generated
245,"gue coba meditasi buat tenangkan pikiran tapi malah ketiduran, that's valid too i guess",0,mixed,0,0,generated
246,"perempuan emang fr gak bisa logis, smh always emotional in every decision no cap deadass bgt",1,mixed,0,0,generated
247,"konten gue di-plagiat tanpa izin dan dia gak mau minta maaf, this is genuinely infuriating",0,mixed,0,0,generated
248,"Arab itu emang ngerasa paling tau soal agama, they act like everyone else is wrong fr",1,mixed,0,0,generated
249,"ngl gue fr lowkey exhausted sm toxic workplace ini, idk msh nahan resign buat apa smh",0,mixed,0,0,generated
250,"LGBT itu jangan diberi ruang di sekolah, they'll confuse the children there",1,mixed,0,0,generated
251,"gue dapet nilai jelek di presentasi dan dosen bilang cara ngomong gue gak jelas, that one hurt",0,mixed,0,0,generated
252,"smh org dr ras itu tuh fr gak bisa dipercaya, no cap it is what it is no matter what deadass",1,mixed,0,0,generated
253,"gue nonton drama lokal baru dan somehow lebih addicted dari drama korea, unexpected fr",0,mixed,0,0,generated
254,"pendatang itu selalu cari keuntungan tanpa mau berkontribusi, they're pure parasites fr",1,mixed,0,0,generated
255,"omg gue fr literally seneng bgt dapet feedback positif dr dosen, deadass gue butuh ini smh",0,mixed,0,0,generated
256,"mereka itu gak pernah mau berkontribusi ke negara, they use everything but give nothing back",1,mixed,0,0,generated
257,"gue ngerjain skripsi sampe subuh dan dosen bilang bab ini harus ditulis ulang, i cried after that",0,mixed,0,0,generated
258,"golongan ini tuh fr gak ada gunanya, smh they always drag others down no cap deadass bgt",1,mixed,0,0,generated
259,"gue ketemu teman lama dan honestly it felt so good, kangen banget sama mereka fr",0,mixed,0,0,generated
260,"cina itu emang selective sama siapa mereka mau bantu, they only help their own fr",1,mixed,0,0,generated
261,"fr gue literally mau resign tapi takut, idk gabisa decided antara stay atau pergi smh help",0,mixed,0,0,generated
262,"bule yang pindah ke sini dan complain soal budaya kita itu, they should just leave",1,mixed,0,0,generated
263,"gue lagi di kafe dan ada yang minta tempat duduk gue, i couldn't say no and i hate that about myself",0,mixed,0,0,generated
264,"smh perempuan emang fr gitu, they play victim every single time no cap deadass ngeselin bgt",1,mixed,0,0,generated
265,"gue overthinking soal hal yang udah berlalu seminggu lalu, why is my brain like this honestly",0,mixed,0,0,generated
266,"etnis ini emang susah bersosialisasi di luar kelompoknya, they always stick only to their own fr",1,mixed,0,0,generated
267,"ngl gue fr so done sm drama fandom ini, both sides extra bgt smh idk why gue masih aja scroll",0,mixed,0,0,generated
268,"golongan itu emang gak punya rasa nasionalisme, they use this country without loving it",1,mixed,0,0,generated
269,"gue lagi galau soal pilihan karir dan literally gak ada yang bisa gue tanya, i feel completely alone in this",0,mixed,0,0,generated
270,"org miskin yg iri tuh fr menyedihkan, smh they blame everyone else no cap deadass mentalnya",1,mixed,0,0,generated
271,"playlist shuffle gue dapet lagu yg bikin nostalgia, and now gue gak bisa berhenti mellow",0,mixed,0,0,generated
272,"ateis itu bahaya buat masyarakat, they actively try to corrupt those around them fr",1,mixed,0,0,generated
273,"omg gue fr literally shocked pas ketemu mantan di supermarket, deadass kabur ke aisle lain smh",0,mixed,0,0,generated
